genus,epitet,author
Alsine,succulentaj.,Gay
Alsine,tenuifolia,(L.) Crantz
Alsine,thymifolia,(Sibth. et Smith) Boiss.
Alternanthera,,
Alternanthera,ammna,(Lam.) Voss.
Alternanthera,sessilis,(L.) R. Br.
Alternanthera,versicolor,(Lam.) Niehls.
Amaranthus,,
Amaranthus,albu˛,L.
Amaranthus,angustifolius,Lam.
Amaranthus,ascendens,Loisel.
Amaranthus,blitoides,G. Wats.
Amaranthus,blitum,L.
Amaranthus,caudatus,L.
Amaranthus,chlorostachys,Willd.
Amaranthus,cruentus,L.
Amaranthus,deflexus,L.
Amaranthus,gracilis,Desf.
Amaranthus,graecizans,L.
Amaranthus,hybridus,L.
Amaranthus,hypochondriacus,L.
Amaranthus,lividus,L.
Amaranthus,oleraceus,L.
Amaranthus,paniculatus,L.
Amaranthus,patulus,Bertol.
Amaranthus,retroflexus,L.
Amaranthus,viridis,L.
Amaryllis,,
Amaryllis,montana,Labili.
Amaryllis,tatarica,Pall.
Ammochloa,,
Ammochloa,humilis,M. Bieb.
Ammochloa,palaestina,Boiss.
Ammochloa,subacaulis,Bal.
Ammophila,,
Ammophila,arenaria,(L.) Link
Ammophila,arundinacea,Host
Anabasis,,
Anabasis,alopecuroides,Del.
Anabasis,aphylla,L.
Anabasis,articulata,Forsk.
Anabasis,haussknechtii,Bge
Anabasis,phyllophora,Kar. et Kir.
Anabasis,ramosissima,Dingier
Anabasis,setifera,Moqu.
Anabasis,spinosissima,L. fil.
Anacamptis,,
Anacamptis,pyramidalis,(L.) L. C. Rich.
Androcymbium,,
Androcymbium,palœstinum,(Boiss.) Baker
Andropogon,,
Andropogon,allionii,(Lam. et D.C.) Rœm.
Andropogon,arriani,Edgw.
Andropogon,contortus,L.
Andropogon,distachyus,L.
Andropogon,gryllus,L.
Andropogon,hirtus,L.
Andropogon,ischaemum,L.
Andropogon,olivieri,Boiss.
Andropogon,pubescens,Vis.
Andropogon,ravennae,L.
Andropogon,strictus,Host
Ankyropetalum,,
Ankyropetalum,arsusianum,Boiss.
Ankyropetalum,cœlesyriacum,Boiss.
Ankyropetalum,gypsophiloides,Fenzl
Anagramme,,
Anagramme,leptophylla,(L.) Link
Anthistiria,,
Anthistiria,brachyantha,Boiss.
Anthistiria,ciliata,L. fil.
Anthoxanthum,,
Anthoxanthum,odqratum,L.
Antinoria,,
Antinoria,insularis,Pari.
Apera,,
Apera,interrupta,(L.) Beauv.
Arceuthobium,,
Arceuthobium,oxycedri,(D.C.) M. Bieb.
Arceuthos,,
Arceuthos,drupacea,(Lab.) Ant. et Ky
Arenaria,,
Arenaria,adonidis,Peyron
Arenaria,bocconii,Soleirol
Arenaria,cassia,Boiss.
Arenaria,deflexa,Decne
Arenaria,diandra,Guss.
Arenaria,globulosa,Lab.
Arenaria,graveolens,Schreb.
Arenaria,hybrida,Vill.
Arenaria,juniperina,L.
Arenaria,leptoclados,Guss.
Arenaria,liban,otica Ky
Arenaria,marginata,D;C.
Arenaria,media,L.
Arenaria,mediterranea,Ledeb.
Arenaria,mucronata,Sibth. et Smith
Arenaria,oxypetala,Sibth. et Smith
Arenaria,pamphylica,Boiss. et Heldr.
Arenaria,picta,Sibth. et Smith
Arenaria,pubescens,d'Urv.
