genus,epitet,author
Alyssum,repens,Baumg.
Alyssum,samariferum,Boiss. et Hausskn.
Alyssum,serpyllifolium,Desv.
Alyssum,singarense,Boiss. et Hausskn.
Alyssum,stapffii,Vierh.
Alyssum,stribrnyi,Velen.
Alyssum,strictum,Willd.
Alyssum,strigosum,Banks et Sol.
Alyssum,subspinosum,Dudley
Alyssum,sulphureum,Dudl. et Huber-Morath
Alyssum,syriacum,Nyaradi
Alyssum,szowitsianum,Fisch. et Mey.
Alyssum,tetrastemon,Boiss.
Alyssum,trochocarpum,Fenz
Alyssum,umbellatum,Desv.
Alyssum,vesicaria,L.
Amaranthus,,
Amaranthus,albus,L.
Amaranthus,blitoides,C. Wats.
Amaranthus,deflexus,L.
Amaranthus,hybridus,L.
Amelanchier,,
Amelanchier,ovalis,Medik.
Amelanchier,vulgaris,Moench
Ammi,,
Ammi,majus,L.
Ammi,visnaga,L.
Ammothamnus,,
Ammothamnus,gibbosus,(D.C.) Boiss.
Ampélopsis,,
Ampélopsis,orientalis,(Lam.) Planchon
Amygdalus,,
Amygdalus,agrestis,Boiss.
Amygdalus,arabica,Oliv.
Amygdalus,communis,L.
Amygdalus,korschinskii,(Hd. Mz.) Bornm.
Amygdalus,kotsckyi,Boiss. et Heldr.
Amygdalus,orientalis,Mill.
Amygdalus,persica,L.
Amygdalus,spartioides,Spach
Anabasis,,
Anabasis,apkylla,L.
Anabasis,articulata,(Forssk.) Moqu.
Anabasis,haussknechtii,Bge
Anabasis,ramosissima,Boiss.
Anabasis,syriaca,Iljin
Anagyris,,
Anagyris,foetida,L.
Anastatica,,
Anastatica,syriaca,L.
Anatropa,,
Anatropa,tenella,Ehrenb.
Anchonium,,
Anchonium,billardieri,D.C.
Anchonium,elichrysifolium,(D.C.) Bornm.
Andrachne,,
Andrachne,rotundifolia,C.A. Mey.
Andrachne,telephioides,L.
Androsaemum,,
Androsaemum,hircinum,(L.) Spach
Andrzeiowskia,,
Andrzeiowskia,cardamine,Reichenb.
Andrzeiowskia,cardaminifolia,(D.C.) Prantl
Anemone,,
Anemone,blânda,Schott et Ky
Anemone,coccinea,Jord.
Anemone,coronaria,L.
Anemone,eyanea,Risso
Anethum,,
Anethum,foeniculum,L.
Anethum,graveolens,L.
Anethum,piperitum,Ucria
Anethum,segetum,L.
Anisopleura,,
Anisopleura,crenata,Fenzl
Anisociadium,,
Anisociadium,isosciadium,Boiss.
Anisociadium,orientale,D.C.
Anogramma,,
Anogramma,leptophylla,(L.) Link
Anthriscus,,
Anthriscus,lamprocarpa,Boiss.
Anthriscus,nemorosa,(M. Bieb) Spreng.
Anthriscus,vulgaris,Spreng.
Anthyllis,,
Anthyllis,incisa,vWilld.
Anthyllis,maura,Beck
Anthyllis,tetrapkylla,L.
Anthyllis,vulneraria,L.
Aphanes,,
Aphanes,comucopiae,Pomel
Aphanes,arvensis,L.
Apium,,
Apium,graveolens,L.
Apium,nodiflorum,(L.) Reichb.
Apium,petroselinum,L.
Arabidopsis,,
Arabidopsis,pumila,(Steph.) Busch
Arabidopsis,thaliana,(L.) Heynh.
Arabis,,
Arabis,albida,Stev.
Arabis,aucheri,Boiss.
Arabis,auriculata,Lam.
Arabis,caucasica,Schlecht.
Arabis,laxa,Sibth. et Smith
Arabis,montbretiana,Boiss.
Arabis,nova,Vill.
Arabis,nuda,Bélanger
Arabis,petiolata,M. Bieb.
Arabis,sagittata,(Bertol.) D.C.
Arabis,thaliana,L.
Arabis,turrita,L.
Argemone,,
Argyrolobium,,
Argyrolobium,crotalarioides,Jaub. et Spach
Argyrolobium,gracile,Fenzl
Argyrolobium,syriacum,Boiss.
Aristida,,
Aristida,plumosa,L.
Aristida,lanata,Forssk.
Armeniaca,,
Armeniaca,vulgaris,Lam.
Artedia,,
Artedia,squamata,L.
Arthrocnemum,,
Arthrocnemum,glaucum,(Del.) Ung. Stern.
Arthrocnemum,macrostachyum,(Moricand)
Arum,,
Arum,graminéum,Banks et Sol.
Arundo,,
Arundo,australii,Cav.
Asphodeline,,
Asphodeline,globifera,J. Gay
Asphodeline,recurva,Post
Asphodeline,taurica,(Pall.) Kunth
Aspidium,,
Aspidium,libanoticum,Ros.
Asplenium,,
Asplenium,adiantum-nigrum,L.
Asplenium,onopteris,L.
Astoma,,
Astragalus,,
Astragalus,acinaciferus,Boiss.
Astragalus,aintabicus,Boiss.
Astragalus,alexandrinus,Boiss.
Astragalus,ammocryptus,Boiss.
Astragalus,ancistrocarpus,Boiss. et Hàusskn.
Astragalus,ancyleus,Boiss.
Astragalus,andrachne,Boiss.
Astragalus,andrachnifolius,Fenzl
Astragalus,angulosus,D.G.
Astragalus,angustifolius,Lam.
Astragalus,annularis,Forssk.
Astragalus,antabicus,Boiss.
Astragalus,anthylloides,Lam.
Astragalus,antilibani,Bge
Astragalus,antiochianus,Post
Astragalus,arbainensis,Eig
Astragalus,argyrophyttus,Boiss. et Gaill.
Astragalus,argyrothamnos,Boiss.
Astragalus,ascophorus,Fisch.
Astragalus,aulacolobus,Boiss.
Astragalus,baalbekensis,Bornm.
Astragalus,baeticus,L.
Astragalus,barbatus,Lam.
Astragalus,barukanus,Eig
Astragalus,beershabensis,Eig et Sam.
Astragalus,berytheus,Boiss. et Bl.
Astragalus,bethlehemiticus,Boiss.
Astragalus,bhamrensis,Sirj. et Rech. fil.
Astragalus,bombycinus,Boiss.
Astragalus,brachyceras,Ledeb.
Astragalus,brachystachys,D.C.
Astragalus,bracteosus,Boiss. et Noë
Astragalus,butleri,Post
Astragalus,callichrous,Boiss.
Astragalus,canaliculatus,Willd.
Astragalus,cataonicus,Bge
Astragalus,cedreti,Boiss.
Astragalus,cephalotes,Banks et Sol.
Astragalus,chaborasicus,Boiss. et Hausskn.
Astragalus,chlofostegius,Boiss et Haussk. •
Astragalus,collinus,Boiss.
Astragalus,coluteoides,Willd.
Astragalus,commixtus,Bge
Astragalus,corrugatus,Bertol.
Astragalus,cretaceus,Boiss. et Ky
Astragalus,cruciatus,Link
Astragalus,cruentiflorus,Boiss.
Astragalus,cucullaris,Boiss.
Astragalus,dactylocarpus,Boiss.
Astragalus,damascenus,Boiss. et GailL
Astragalus,darmikii,Moût.
deinacanthus,,Boiss.
delbesii,,Eig
deserti-syriaci,,Eig
dictyocarpus,,Boiss.
dictyolobus,,C A Mey.
dinsmorei,,Eig
diphterites,,Fenzl
dipodurus,,Bge _
dorcoceras,,Bge
drusorum,,Boiss.
duplostrigosus,,Post et Beauv.
echinatus,,Murr.
echinops,,Boiss.
echinus,,D.C.
ehdenensis,,Moût.
ehrenbergii,,Bge
emarginatus,,Lab.
epiglottis,,L.
erihanensis,,Eig
eriophylloides,,Rech. fil.
eriopodus,,Boiss.
erisyphe,,Eig
erythrotaenius,,Boiss.
exiguus,,Post .
expansus,,Boiss.
faktorovski,,Eig
forskhalei,,Boiss.
gaillardotii,,Boiss.
galilaeus,,Freyn et Bornm.
gladiatus,,Boiss.
gombaultii,,Eig
goşsypinoides,,Hand.-Mazz.
gossypinus,,Fisch.
griseo-sericeus,,Eig
gummifer,,Lab.
guttatus,,Banks et Sol.
hamosus,,L.
hamrinensis,,Hausskn. et Bornm.
hasbeyanus,,
heliopolitanus,,Moût.
hermoneus,,Boiss.
hilaris,,Bge
hirsutissimus,,D.C.
hispidulus,,D.C.
