page_num,genus,epithet,infra,author,taxon rank
616,Acanthophyllum,,,,genus
616,Acanthophyllum,kurdicum,,Boiss. et Hausskn. ,species
616,Aceras,,,,genus
616,Aceras,qffinis,,Boiss. ,species
616,Aceras,anthropophora,,(L.) R. Br. ,species
616,Aceras,hircina,,(L.) Lindl. ,species
616,Aceras,pyramidalis,,(L.) Reichb. ,species
616,Achyranthes,,,,genus
616,Achyranthes,aspera,,L. ,species
616,Achyranthes,argentea,,Lam. ,species
616,Acrostichutn,,,,genus
616,Acrostichutn,marantae,,L. ,species
616,Acrostichutn,velleum,,Ait. ,species
616,Adiantum,,,,genus
616,Adiantum,capillus-veneris,,L. ,species
616,Aegilops,,,,genus
616,Aegilops,aucheri,,Boiss. ,species
616,Aegilops,bicornis,,(Forsk.) Jaub. et Spach ,species
616,Aegilops,biuncialis,,Vis. ,species
616,Aegilops,caudata,,L. ,species
616,Aegilops,columnaris,,Zhuk. ,species
616,Aegilops,crassa,,Boiss. ,species
616,Aegilops,cylindrica,,Host ,species
616,Aegilops,çylindrostachys,,Eig et Fein.br. ,species
616,Aegilops,incurva,,L. ,species
616,Aegilops,incurvata,,L. ,species
616,Aegilops,juvenali∫,,Thell. ,species
616,Aegilops,kotschyi,,Boiss. ,species
616,Aegilops,ligustica,,Sav. ,species
616,Aegilops,longissima,,Schw. et Muschl. ,species
616,Aegilops,lorentii,,Hoschstt. ,species
616,Aegilops,ovata,,L. ,species
616,Aegilops,peregrina(Hack.),,Maire et Weiller ,species
616,Aegilops,sharonensis,,Eig ,species
616,Aegilops,speltoides,,Tausch ,species
616,Aegilops,squarrosa,,L. ,species
616,Aegilops,triaristata,,Willd. ,species
616,Aegilops,triuncialis,,L. ,species
616,Aegilops,umbeUulata,,Zhuk. ,species
616,Aegilops,variabilis,,Eig. ,species
616,Aegilops,ventricosa,,Tausch ,species
616,Aegilotricum,,,,genus
616,Aegilotricum,loreti,,(Richt.) Maire et Weiller ,species
616,Aellenia,,,,genus
616,Aellenia,glauc,,(Bieb.) Aellen ,species
616,Aellenia,hierochuntica,,Bornm.) Aellen ,species
616,Aeluropus,,,,genus
616,Aeluropus,lagopoides,,L.) Druce ,species
616,Aeluropus,littoralis,,(Gouan) Pari. ,species
616,AgropyrQn,,,,genus
616,AgropyrQn,aucheri,,Boiss. ,species
616,AgropyrQn,buonapartis,,Spreng. ,species
616,AgropyrQn,distans,,C. Koch ,species
616,AgropyrQn,elongatum,,(Host) Beauv. ,species
616,AgropyrQn,junceum,,(L.) Beauv. ,species
616,AgropyrQn,lasianthum,,Boiss. ,species
616,AgropyrQn,libanoticum,,Hack. ,species
616,AgropyrQn,ligusticum,,Bert. ,species
616,AgropyrQn,panormitanum,,Pari. ,species
616,AgropyrQn,repens,,(L.) Desv. ,species
616,AgropyrQn,squarrosum,,(Roth) Link ,species
616,Agrostemma,,,,genus
616,Agrostemma,caeli-rosa,,L.. ,species
616,Agrostemma,githago,,L. ,species
616,Agrostis,,,,genus
616,Agrostis,alba,,auct. ,species
616,Agrostis,arenaria,,Gouan ,species
616,Agrostis,bromoides,,L. ,species
616,Agrostis,castellana,,Boiss. et Reut. ,species
616,Agrostis,holciformis,,M. Bieb. ,species
616,Agrostis,interrupta,,L. ,species
616,Agrostis,miliacea,,L. ,species
616,Agrostis,pungens,,Schreb. ,species
616,Agrostis,scabriglumis,,Boiss. et Reut. ,species
616,Agrostis,semiverticillata,,(Forsk.) Christ. ,species
616,Agrostis,stolonifera,,L. ,species
616,Agrostis,ventricosa,,Gouan ,species
616,Agrostis,verticillata,,Vill. ,species
616,Aira,,,,genus
616,Aira,aquatica,,L. ,species
616,Aira,articulata,,Desf. ,species
616,Aira,caerulea,,L. ,species
616,Aira,capillaris,,Host ,species
616,Aira,elegans,,Willd. ,species
616,Aira,humilis,,M. Bieb. ,species
616,Aira,insularis,,(Pari.) Bornm. ,species
616,Airopsis,,,,genus
