genus,epitet,author
Aaronsohnia,,Warburg et Eig
Aaronsohnia,factorovskyi,Warb. et Eig in Eig
Acantholepis,,
Acantholepis,orientalis,Less.
Acantholimon,,Boiss.
Acantholimon,acerosum,(Willd.) Boiss.
Acantholimon,agropyroideum,Mobayen
Acantholimon,androsaceum,(Jaub. et Spach) Boiss.
Acantholimon,antilibanoticum,Mout.
Acantholimon,baltanense,Boiss. et Hausskn.
Acantholimon,damassanum,Mobayen
Acantholimon,echinus,auct.
Acantholimon,laxiflorum,Boiss. ex Bunge
Acantholimon,libanoticum,Boiss.
Acantholimon,ulicinum,(Schultes) Boiss.
Acanthus,,L.
Acanthus,dioscoridis,L.
Acanthus,mollis,L.
Acanthus,raddei,Trautv.
Acanthus,syriacus,Boiss.
Achillea,,L.
Achillea,aleppica,DC.
Achillea,argentea,Lam.
Achillea,biebersteinii,Afan.
Achillea,conferta,DC.
Achillea,damascena,DC.
Achillea,eriophora,auct. non DC.
Achillea,falcata,L.
Achillea,fragrantissima,(Forssk.) Schultz Bip.
Achillea,gossypina,Hand.-Mazz.
Achillea,imbricata,DC.
Achillea,kotschyi,Boiss.
Achillea,Krascheninnikovii,Afan.
Achillea,membranacea,(Labili.). DC. Rech. fil. non (Labili.)
Achillea,membranacea,(Labili.). DC. Rech. fil. non (Labili.)
Achillea,micrantha,Willd. non Willd.
Achillea,odorata,W. Koch
Achillea,oligocephala,DC. AO
Achillea,santohna,"auct. mult, non L."
Achillea,sulphurea,Boiss.
Achillea,teretifolia,Ledeb. non Willd.
Achillea,urumoffii,Hal.
Achillea,wilhelmsii,C. Koch
Acinos,,Miller
Acinos,rotundifolius,Pers. non Friv. nee Host
Aetheorhiza,,Cass.
Aetheorhiza,bulbosa,(L.) Cass.
Ajuga,,L.
Ajuga,chamaepitys,(L.) Schreb.
Ajuga,chasmophila,Davis
Ajuga,chia,Schreb.
Ajuga,glabra,sensu Benth. non C. Presl
Ajuga,laevigata,Boiss.
Ajuga,orientalis,L.
Ajuga,palaestina,Boiss.
Ajuga,rechingeri,Bilik
Ajuga,tridactylites,Gingins ex Benth.
Ajuga,vestita,Boiss.
Alkanna,,Tausch
Alkanna,auranitica,Mouterde
Alkanna,confusa,Sam. ex Rech. fil.
Alkanna,galilaea,Boiss.
Alkanna,hirsutissima,(Bertol.) A. DC.
Alkanna,kotschyana,DC.
Alkanna,leiocarpa,Rech. fil.
Alkanna,maleolens,Bornm.
Alkanna,macrophylla,auct. Boiss. et Heldr.
Alkanna,macrophylla,auct. Boiss. et Heldr.
Alkanna,orientalis,(L.) Boiss.
Alkanna,prasinophylla,Rech. fil.
Alkanna,strigosa,Boiss. et Hohen.
Alkanna,syriaca,Boiss.
Alkanna,tinctoria,Tausch
Amaracus,,Hill
Amaracus,libanoticus,(Boiss.) Briq.
Ambrosia,,L.
Ambrosia,maritima,L.
Anacyclus,,L.
Anacyclus,clavatus,(Desf.) Pers.
Anacyclus,nigellifolius,Boiss.
Anacyclus,radiatus,Loisel.
Anagallis,,L.
Anagallis,arvensis,L.
Anagallis,caerulea,L.
Anagallis,latifolia,L.
Anagallis,phoenicea,Scop.
Anarrhinum,,Desf.
