page_num,genus,epithet,infra,author,taxon rank
616,Acanthophyllum,,,,genus
616,Acanthophyllum,Boiss.,,Boiss. et Hausskn. ,species
616,Aceras,,,,genus
616,Aceras,Boiss.,,Boiss. ,species
616,Aceras,(L.),,(L.) R. Br. ,species
616,Aceras,(L.),,(L.) Lindl. ,species
616,Aceras,(L.),,(L.) Reichb. ,species
616,Achyranthes,,,,genus
616,Achyranthes,L.,,L. ,species
616,Achyranthes,Lam.,,Lam. ,species
616,Acrostichutn,,,,genus
616,Acrostichutn,L.,,L. ,species
616,Acrostichutn,Ait.,,Ait. ,species
616,Adiantum,,,,genus
616,Adiantum,L.,,L. ,species
616,Aegilops,,,,genus
616,Aegilops,Boiss.,,Boiss. ,species
616,Aegilops,(Forsk.),,(Forsk.) Jaub. et Spach ,species
616,Aegilops,Vis.,,Vis. ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,Zhuk.,,Zhuk. ,species
616,Aegilops,Boiss.,,Boiss. ,species
616,Aegilops,Host,,Host ,species
616,Aegilops,Eig,,Eig et Fein.br. ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,Thell.,,Thell. ,species
616,Aegilops,Boiss.,,Boiss. ,species
616,Aegilops,Sav.,,Sav. ,species
616,Aegilops,Schw.,,Schw. et Muschl. ,species
616,Aegilops,Hoschstt.,,Hoschstt. ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,Maire,,Maire et Weiller ,species
616,Aegilops,Eig,,Eig ,species
616,Aegilops,Tausch,,Tausch ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,Willd.,,Willd. ,species
616,Aegilops,L.,,L. ,species
616,Aegilops,Zhuk.,,Zhuk. ,species
616,Aegilops,Eig.,,Eig. ,species
616,Aegilops,Tausch,,Tausch ,species
616,Aegilotricum,,,,genus
616,Aegilotricum,(Richt.),,(Richt.) Maire et Weiller ,species
616,Aellenia,,,,genus
616,Aellenia,(Bieb.),,(Bieb.) Aellen ,species
616,Aellenia,Bornm.),,Bornm.) Aellen ,species
616,Aeluropus,,,,genus
616,Aeluropus,L.),,L.) Druce ,species
616,Aeluropus,(Gouan),,(Gouan) Pari. ,species
616,AgropyrQn,,,,genus
616,AgropyrQn,Boiss.,,Boiss. ,species
616,AgropyrQn,Spreng.,,Spreng. ,species
616,AgropyrQn,C.,,C. Koch ,species
616,AgropyrQn,(Host),,(Host) Beauv. ,species
616,AgropyrQn,(L.),,(L.) Beauv. ,species
616,AgropyrQn,Boiss.,,Boiss. ,species
616,AgropyrQn,Hack.,,Hack. ,species
616,AgropyrQn,Bert.,,Bert. ,species
616,AgropyrQn,Pari.,,Pari. ,species
616,AgropyrQn,(L.),,(L.) Desv. ,species
616,AgropyrQn,(Roth),,(Roth) Link ,species
616,Agrostemma,,,,genus
616,Agrostemma,L..,,L.. ,species
616,Agrostemma,L.,,L. ,species
616,Agrostis,,,,genus
616,Agrostis,auct.,,auct. ,species
616,Agrostis,Gouan,,Gouan ,species
616,Agrostis,L.,,L. ,species
616,Agrostis,Boiss.,,Boiss. et Reut. ,species
616,Agrostis,M.,,M. Bieb. ,species
616,Agrostis,L.,,L. ,species
616,Agrostis,L.,,L. ,species
616,Agrostis,Schreb.,,Schreb. ,species
616,Agrostis,Boiss.,,Boiss. et Reut. ,species
616,Agrostis,(Forsk.),,(Forsk.) Christ. ,species
616,Agrostis,L.,,L. ,species
616,Agrostis,Gouan,,Gouan ,species
616,Agrostis,Vill.,,Vill. ,species
616,Aira,,,,genus
616,Aira,L.,,L. ,species
616,Aira,Desf.,,Desf. ,species
616,Aira,L.,,L. ,species
616,Aira,Host,,Host ,species
616,Aira,Willd.,,Willd. ,species
616,Aira,M.,,M. Bieb. ,species
