page_num,genus,epithet,infra,author,taxon rank
616,Acanthophyllum,,,,genus
616,Acanthophyllum,kurdicum,,,species
616,Aceras,,,,genus
616,Aceras,qffinis,,,species
616,Aceras,anthropophora,,,species
616,Aceras,hircina,,,species
616,Aceras,pyramidalis,,,species
616,Achyranthes,,,,genus
616,Achyranthes,aspera,,,species
616,Achyranthes,argentea,,,species
616,Acrostichutn,,,,genus
616,Acrostichutn,marantae,,,species
616,Acrostichutn,velleum,,,species
616,Adiantum,,,,genus
616,Adiantum,capillus-veneris,,,species
616,Aegilops,,,,genus
616,Aegilops,aucheri,,,species
616,Aegilops,bicornis,,,species
616,Aegilops,biuncialis,,,species
616,Aegilops,caudata,,,species
616,Aegilops,columnaris,,,species
616,Aegilops,crassa,,,species
616,Aegilops,cylindrica,,,species
616,Aegilops,çylindrostachys,,,species
616,Aegilops,incurva,,,species
616,Aegilops,incurvata,,,species
616,Aegilops,juvenali∫,,,species
616,Aegilops,kotschyi,,,species
616,Aegilops,ligustica,,,species
616,Aegilops,longissima,,,species
616,Aegilops,lorentii,,,species
616,Aegilops,ovata,,,species
616,Aegilops,peregrina(Hack.),,,species
616,Aegilops,sharonensis,,,species
616,Aegilops,speltoides,,,species
616,Aegilops,squarrosa,,,species
616,Aegilops,triaristata,,,species
616,Aegilops,triuncialis,,,species
616,Aegilops,umbeUulata,,,species
616,Aegilops,variabilis,,,species
616,Aegilops,ventricosa,,,species
616,Aegilotricum,,,,genus
616,Aegilotricum,loreti,,,species
616,Aellenia,,,,genus
616,Aellenia,glauc,,,species
616,Aellenia,hierochuntica,,,species
616,Aeluropus,,,,genus
616,Aeluropus,lagopoides,,,species
616,Aeluropus,littoralis,,,species
616,AgropyrQn,,,,genus
616,AgropyrQn,aucheri,,,species
616,AgropyrQn,buonapartis,,,species
616,AgropyrQn,distans,,,species
616,AgropyrQn,elongatum,,,species
616,AgropyrQn,junceum,,,species
616,AgropyrQn,lasianthum,,,species
616,AgropyrQn,libanoticum,,,species
616,AgropyrQn,ligusticum,,,species
616,AgropyrQn,panormitanum,,,species
616,AgropyrQn,repens,,,species
616,AgropyrQn,squarrosum,,,species
616,Agrostemma,,,,genus
616,Agrostemma,caeli-rosa,,,species
616,Agrostemma,githago,,,species
616,Agrostis,,,,genus
616,Agrostis,alba,,,species
616,Agrostis,arenaria,,,species
616,Agrostis,bromoides,,,species
616,Agrostis,castellana,,,species
616,Agrostis,holciformis,,,species
616,Agrostis,interrupta,,,species
616,Agrostis,miliacea,,,species
616,Agrostis,pungens,,,species
616,Agrostis,scabriglumis,,,species
616,Agrostis,semiverticillata,,,species
616,Agrostis,stolonifera,,,species
616,Agrostis,ventricosa,,,species
616,Agrostis,verticillata,,,species
616,Aira,,,,genus
616,Aira,aquatica,,,species
616,Aira,articulata,,,species
616,Aira,caerulea,,,species
616,Aira,capillaris,,,species
616,Aira,elegans,,,species
616,Aira,humilis,,,species
616,Aira,insularis,,,species
616,Airopsis,,,,genus
616,Airopsis,insularis,,,species
616,Aizoon,,,,genus
616,Aizoon,hispanicum,,,species
616,Alisma,,,,genus
616,Alisma,arcuatum,,,species
616,Alisma,damasonium,,,species
616,Alisma,gramineum,,,species
617,Alisma,graminifolium,,,species
617,Alisma,lanceolatum,,,species
617,Alisma,plantago-aquatica,,,species
617,Alisma,ranunculoides,,,species
617,Allium,,,,genus
617,Allium,affine,,,species
617,Allium,ampeloprasum,,,species
617,Allium,artemisietorum,,,species
617,Allium,arvense,,,species
617,Allium,aschersonianum,,,species
617,Allium,asclepiadeum,,,species
617,Allium,azaurenum,,,species
617,Allium,bassitense,,,species
617,Allium,calyptratum,,,species
617,Allium,carmeli,,,species
617,Allium,cassium,,,species
617,Allium,cepa,,,species
617,Allium,chloranthum,,,species
617,Allium,chrysantherum,,,species
617,Allium,cilicium,,,species
617,Allium,coppoleri,,,species
617,Allium,curtum,,,species
617,Allium,damascenum,,,species
617,Allium,descendens,,,species
617,Allium,de∫er˛i,,,species
617,Allium,dicïyoprasum,,,species
617,Allium,drusorum,,,species
617,Allium,dumetorum,,,species
617,Allium,emarginatum,,,species
617,Allium,erdelii,,,species
617,Allium,eriophyllum,,,species
617,Allium,feinbergii,,,species
617,Allium,graecum,,,species
617,Allium,haussknechtii,,,species
617,Allium,hierochuntinum,,,species
617,Allium,hirsutum,,,species
617,Allium,karyateini,,,species
617,Allium,laceratum,,,species
617,Allium,libani,,,species
617,Allium,lycaonicum,,,species
617,Allium,macrochaetum,,,species
617,Allium,makmelianum,,,species
617,Allium,margaritaceum,,,species
617,Allium,myrianthum,,,species
617,Allium,neapolitanum,,,species
617,Allium,nigrum,,,species
617,Allium,noëanum,,,species
617,Allium,olivieri,,,species
617,Allium,opacum,,,species
617,Allium,orientale,,,species
617,Allium,pollens,,,species
617,Allium,paniculatum,,,species
617,Allium,phanerantherum,,,species
617,Allium,porrum,,,species
617,Allium,pseudocalyptratum,,,species
617,Allium,pseudophanerantherum,,,species
617,Allium,qasyunense,,,species
617,Allium,rothii,,,species
617,Allium,rotundum,,,species
617,Allium,rupicolum,,,species
617,Allium,sannineum,,,species
617,Allium,sativum,,,species
617,Allium,schergianum,,,species
617,Allium,schuberti,,,species
617,Allium,scorodoprasum,,,species
617,Allium,sindjarense,,,species
617,Allium,sphuencephalum,,,species
617,Allium,stamineum,,,species
617,Allium,stenopetalum,,,species
617,Allium,subhirsutum,,,species
617,Allium,telavivense,,,species
617,Allium,trifoliatum,,,species
617,Allium,vineale,,,species
617,Allium,viridi-album,,,species
617,Allium,wiedemannianum,,,species
617,Allium,zebdanense,,,species
617,Alnus,,,,genus
617,Alnus,orientalis,,,species
617,Aloe,,,,genus
617,Aloe,vera,,,species
617,Alopecurus,,,,genus
617,Alopecurus,agrestis,,,species
617,Alopecurus,anthoxanthoides,,,species
617,Alopecurus,arundinacea,,,species
617,Alopecurus,gerardi,,,species
617,Alopecurus,involucratus,,,species
617,Alopecurus,monspeliensis,,,species
617,Alopecurus,myosuroides,,,species
617,Alopecurus,nigricans,,,species
617,Alopecurus,pratensis,,,species
617,Alopecurus,vaginatus,,,species
617,Alopecurus,ventricosus,,,species
617,Alsine,,,,genus
617,Alsine,brevis,,,species
617,Alsine,decipiens,,,species
617,Alsine,formosa,,,species
617,Alsine,globulosa,,,species
617,Alsine,intermedia,,,species
617,Alsine,juniperina,,,species
617,Alsine,libanotica,,,species
617,Alsine,media,,,species
617,Alsine,mesogitana,,,species
617,Alsine,meyeri,,,species
617,Alsine,picta,,,species
617,Alsine,rupestris,,,species
617,Alsine,smithii,,,species
617,Alsine,succulentaj.,,,species
617,Alsine,tenuifolia,,,species
617,Alsine,thymifolia,,,species
617,Alternanthera,,,,genus
617,Alternanthera,ammna,,,species
617,Alternanthera,sessilis,,,species
617,Alternanthera,versicolor,,,species
618,Amaranthus,,,,genus
618,Amaranthus,albu˛,,,species
618,Amaranthus,angustifolius,,,species
618,Amaranthus,ascendens,,,species
618,Amaranthus,blitoides,,,species
618,Amaranthus,blitum,,,species
618,Amaranthus,caudatus,,,species
618,Amaranthus,chlorostachys,,,species
618,Amaranthus,cruentus,,,species
618,Amaranthus,deflexus,,,species
618,Amaranthus,gracilis,,,species
618,Amaranthus,graecizans,,,species
618,Amaranthus,hybridus,,,species
618,Amaranthus,hypochondriacus,,,species
618,Amaranthus,lividus,,,species
618,Amaranthus,oleraceus,,,species
618,Amaranthus,paniculatus,,,species
618,Amaranthus,patulus,,,species
618,Amaranthus,retroflexus,,,species
618,Amaranthus,viridis,,,species
618,Amaryllis,,,,genus
618,Amaryllis,montana,,,species
618,Amaryllis,tatarica,,,species
618,Ammochloa,,,,genus
618,Ammochloa,humilis,,,species
618,Ammochloa,palaestina,,,species
618,Ammochloa,subacaulis,,,species
618,Ammophila,,,,genus
618,Ammophila,arenaria,,,species
618,Ammophila,arundinacea,,,species
618,Anabasis,,,,genus
618,Anabasis,alopecuroides,,,species
618,Anabasis,aphylla,,,species
618,Anabasis,articulata,,,species
618,Anabasis,haussknechtii,,,species
618,Anabasis,phyllophora,,,species
618,Anabasis,ramosissima,,,species
618,Anabasis,setifera,,,species
618,Anabasis,spinosissima,,,species
618,Anacamptis,,,,genus
618,Anacamptis,pyramidalis,,,species
618,Androcymbium,,,,genus
618,Androcymbium,palœstinum,,,species
618,Andropogon,,,,genus
618,Andropogon,allionii,,,species
618,Andropogon,arriani,,,species
618,Andropogon,contortus,,,species
618,Andropogon,distachyus,,,species
618,Andropogon,gryllus,,,species
618,Andropogon,hirtus,,,species
618,Andropogon,ischaemum,,,species
618,Andropogon,olivieri,,,species
618,Andropogon,pubescens,,,species
618,Andropogon,ravennae,,,species
618,Andropogon,strictus,,,species
618,Ankyropetalum,,,,genus
618,Ankyropetalum,arsusianum,,,species
618,Ankyropetalum,cœlesyriacum,,,species
618,Ankyropetalum,gypsophiloides,,,species
618,Anagramme,,,,genus
618,Anagramme,leptophylla,,,species
618,Anthistiria,,,,genus
618,Anthistiria,brachyantha,,,species
618,Anthistiria,ciliata,,,species
618,Anthoxanthum,,,,genus
618,Anthoxanthum,odqratum,,,species
618,Antinoria,,,,genus
618,Antinoria,insularis,,,species
618,Apera,,,,genus
618,Apera,interrupta,,,species
618,Arceuthobium,,,,genus
618,Arceuthobium,oxycedri,,,species
618,Arceuthos,,,,genus
618,Arceuthos,drupacea,,,species
618,Arenaria,,,,genus
618,Arenaria,adonidis,,,species
618,Arenaria,bocconii,,,species
618,Arenaria,cassia,,,species
618,Arenaria,deflexa,,,species
618,Arenaria,diandra,,,species
618,Arenaria,globulosa,,,species
618,Arenaria,graveolens,,,species
618,Arenaria,hybrida,,,species
618,Arenaria,juniperina,,,species
618,Arenaria,leptoclados,,,species
618,Arenaria,liban,,,species
618,Arenaria,marginata,,,species
618,Arenaria,media,,,species
618,Arenaria,mediterranea,,,species
618,Arenaria,mucronata,,,species
618,Arenaria,oxypetala,,,species
618,Arenaria,pamphylica,,,species
618,Arenaria,picta,,,species
618,Arenaria,pubescens,,,species
618,Arenaria,rubra,,,species
618,Arenaria,rupestris,,,species
618,Arenaria,salsuginea,,,species
618,Arenaria,serpyllifolia,,,species
618,Arenaria,spinuliflora,,,species
618,Arenaria,subtilis,,,species
618,Arenaria,tremula,,,species
618,Arenaria,viscosa,,,species
618,Arisarum,,,,genus
618,Arisarum,libani,,,species
618,Arisarum,veslingii,,,species
618,Arisarum,vulgare,,,species
618,Aristella,,,,genus
618,Aristella,bromoides,,,species
